Age,FrequentFlyer,AnnualIncomeClass,ServicesOpted,AccountSyncedToSocialMedia,BookedHotelOrNot,Target,FrequentFlyerBit,SocialMediaBit,BookedHotelBit,High_Income,Middle_Income,Low_Income,Churn_Probability,Churn_Predicted,Churn_Probability_XGB,Churn_Predicted_XGB
34,No,Low Income,5,Yes,No,0,0,1,0,0,0,1,0.423220166,0,0.373161,0
34,No,Middle Income,2,No,No,0,0,0,0,0,1,0,0.036513703,0,0.000852263,0
30,No,Low Income,6,No,Yes,0,0,0,1,0,0,1,0.254100695,0,0.004068325,0
28,Yes,Low Income,1,No,No,1,1,0,0,0,0,1,0.488613552,0,0.9801856,1
35,No,Middle Income,3,Yes,No,0,0,1,0,0,1,0,0.094533873,0,0.001004674,0
29,No,Middle Income,2,No,No,0,0,0,0,0,1,0,0.068075268,0,0.002950669,0
35,No,Low Income,1,No,No,0,0,0,0,0,0,1,0.066188477,0,0.000553608,0
31,Yes,High Income,4,No,Yes,0,1,0,1,1,0,0,0.576699108,1,0.082087584,0
35,No,Middle Income,1,Yes,Yes,0,0,1,1,0,1,0,0.021410135,0,0.00055255,0
29,No,Low Income,2,Yes,No,1,0,1,0,0,0,1,0.32856917,0,0.9758799,1
34,No,Middle Income,3,No,Yes,0,0,0,1,0,1,0,0.022438146,0,0.000258899,0
31,Yes,High Income,1,No,No,1,1,0,0,1,0,0,0.525755633,1,0.57897615,1
30,No,Low Income,1,No,Yes,0,0,0,1,0,0,1,0.054901932,0,6.87E-05,0
30,No,Middle Income,5,No,No,0,0,0,0,0,1,0,0.156229232,0,0.000370423,0
30,No,Middle Income,4,Yes,Yes,0,0,1,1,0,1,0,0.108642051,0,0.000140271,0
27,Yes,Low Income,1,No,No,1,1,0,0,0,0,1,0.521410111,1,0.99179685,1
30,No,Low Income,3,No,No,0,0,0,0,0,0,1,0.217042779,0,0.000228087,0
30,No,Middle Income,6,No,Yes,0,0,0,1,0,1,0,0.100834644,0,0.002411765,0
31,No,Low Income,1,Yes,Yes,0,0,1,1,0,0,1,0.1010023,0,0.002386098,0
31,Yes,High Income,1,Yes,No,0,1,1,0,1,0,0,0.709707377,1,0.6055941,1
30,No,Middle Income,1,No,Yes,0,0,0,1,0,1,0,0.018764142,0,0.000100247,0
38,No,Low Income,4,No,No,0,0,0,0,0,0,1,0.121406313,0,0.00379858,0
30,No,Middle Income,3,No,Yes,0,0,0,1,0,1,0,0.037351579,0,6.65E-05,0
27,Yes,High Income,1,No,No,1,1,0,0,1,0,0,0.652058486,1,0.99583983,1
35,No,Low Income,1,Yes,No,0,0,1,0,0,0,1,0.135179465,0,0.002912227,0
28,No,Middle Income,2,No,No,1,0,0,0,0,1,0,0.076888652,0,0.9878501,1
34,No,Middle Income,5,No,Yes,0,0,0,1,0,1,0,0.044499937,0,0.001187188,0
30,Yes,Low Income,1,Yes,Yes,1,1,1,1,0,0,1,0.40796081,0,0.9201854,1
33,No,Middle Income,4,Yes,No,0,0,1,0,0,1,0,0.162027042,0,0.001466456,0
34,No,Middle Income,2,Yes,No,0,0,1,0,0,1,0,0.077128213,0,0.008184941,0
27,No,Low Income,1,No,No,0,0,0,0,0,0,1,0.168429879,0,0.020035561,0
30,Yes,High Income,1,No,No,0,1,0,0,1,0,0,0.558323372,1,0.41210014,0
30,No,Middle Income,6,No,Yes,0,0,0,1,0,1,0,0.100834644,0,0.002411765,0
31,No,Low Income,2,No,No,0,0,0,0,0,0,1,0.145790461,0,0.001660897,0
30,No,Middle Income,3,Yes,Yes,0,0,1,1,0,1,0,0.078821823,0,7.62E-05,0
27,Yes,High Income,4,No,No,1,1,0,0,1,0,0,0.844148916,1,0.99717784,1
30,No,Low Income,1,Yes,No,0,0,1,0,0,0,1,0.23153105,0,0.00321977,0
37,Yes,Low Income,2,No,Yes,0,1,0,1,0,0,1,0.150817866,0,0.001495666,0
30,No,Middle Income,1,Yes,Yes,0,0,1,1,0,1,0,0.040464835,0,0.000118797,0
30,Yes,Low Income,5,Yes,No,1,1,1,0,0,0,1,0.869654447,1,0.9848817,1
34,No,Middle Income,3,No,No,0,0,0,0,0,1,0,0.05121768,0,0.000145789,0
29,No,Middle Income,2,No,No,0,0,0,0,0,1,0,0.068075268,0,0.002950669,0
34,No,Low Income,4,No,Yes,0,0,0,1,0,0,1,0.090347598,0,0.00042636,0
37,Yes,High Income,1,No,No,0,1,0,0,1,0,0,0.335287712,0,0.33869052,0
37,Yes,Low Income,1,Yes,Yes,0,1,1,1,0,0,1,0.215662062,0,0.08063119,0
35,No,Low Income,2,Yes,No,1,0,1,0,0,0,1,0.182106164,0,0.89949745,1
30,No,Middle Income,3,No,No,0,0,0,0,0,1,0,0.083623053,0,5.19E-05,0
36,Yes,High Income,6,No,Yes,1,1,0,1,1,0,0,0.589175236,1,0.9908732,1
30,No,Low Income,1,Yes,No,0,0,1,0,0,0,1,0.23153105,0,0.00321977,0
34,No,Middle Income,4,Yes,No,0,0,1,0,0,1,0,0.144987433,0,0.002092634,0
29,No,Middle Income,1,No,Yes,0,0,0,1,0,1,0,0.021339633,0,9.11E-05,0
27,Yes,Low Income,1,No,No,1,1,0,0,0,0,1,0.521410111,1,0.99179685,1
34,No,Middle Income,5,No,Yes,0,0,0,1,0,1,0,0.044499937,0,0.001187188,0
30,No,Middle Income,2,No,No,0,0,0,0,0,1,0,0.060206232,0,0.000863661,0
29,No,Low Income,1,Yes,No,0,0,1,0,0,0,1,0.255699932,0,0.003725862,0
28,Yes,High Income,1,No,No,1,1,0,0,1,0,0,0.62171957,1,0.99440694,1
37,No,Middle Income,4,No,Yes,0,0,0,1,0,1,0,0.021578088,0,0.000489568,0
33,No,Low Income,2,No,Yes,0,0,0,1,0,0,1,0.052864824,0,0.003751707,0
37,Yes,Low Income,3,Yes,Yes,1,1,1,1,0,0,1,0.358110344,0,0.9921153,1
30,Yes,High Income,1,Yes,No,1,1,1,0,1,0,0,0.735986162,1,0.38642016,0
35,No,Low Income,1,No,No,0,0,0,0,0,0,1,0.066188477,0,0.000553608,0
28,No,Middle Income,2,No,No,1,0,0,0,0,1,0,0.076888652,0,0.9878501,1
30,No,Middle Income,6,No,Yes,0,0,0,1,0,1,0,0.100834644,0,0.002411765,0
28,Yes,Low Income,4,Yes,No,1,1,1,0,0,0,1,0.858953349,1,0.9963347,1
38,No,Middle Income,3,Yes,No,0,0,1,0,0,1,0,0.065790136,0,0.002011028,0
27,No,Low Income,5,No,No,1,0,0,0,0,0,1,0.454701554,0,0.8194039,1
27,No,Low Income,1,No,No,0,0,0,0,0,0,1,0.168429879,0,0.020035561,0
30,Yes,High Income,1,No,Yes,0,1,0,1,1,0,0,0.349589478,0,0.014865185,0
30,No,Middle Income,1,Yes,Yes,0,0,1,1,0,1,0,0.040464835,0,0.000118797,0
30,No,Low Income,2,Yes,No,1,0,1,0,0,0,1,0.300291503,0,0.97070307,1
28,No,Middle Income,4,No,No,0,0,0,0,0,1,0,0.144570118,0,0.07894558,0
28,Yes,High Income,1,No,No,1,1,0,0,1,0,0,0.62171957,1,0.99440694,1
29,No,Low Income,1,Yes,Yes,0,0,1,1,0,0,1,0.127455746,0,0.002020332,0
33,No,Middle Income,2,No,No,0,0,0,0,0,1,0,0.041422582,0,0.0010997,0
30,No,Middle Income,1,Yes,Yes,0,0,1,1,0,1,0,0.040464835,0,0.000118797,0
37,Yes,Low Income,1,No,No,0,1,0,0,0,0,1,0.226746848,0,0.00360701,0
36,No,Middle Income,3,No,No,0,0,0,0,0,1,0,0.039864522,0,0.001747801,0
27,No,Middle Income,6,No,Yes,1,0,0,1,0,1,0,0.142553012,0,0.6542695,1
37,No,Low Income,5,Yes,No,1,0,1,0,0,0,1,0.33107929,0,0.9850065,1
31,Yes,High Income,1,Yes,No,0,1,1,0,1,0,0,0.709707377,1,0.6055941,1
27,No,Middle Income,1,No,Yes,0,0,0,1,0,1,0,0.027568506,0,0.010663496,0
33,No,Low Income,2,Yes,No,1,0,1,0,0,0,1,0.22449697,0,0.97132504,1
29,No,Middle Income,3,No,Yes,0,0,0,1,0,1,0,0.042368149,0,7.86E-05,0
34,Yes,High Income,1,No,No,1,1,0,0,1,0,0,0.427850681,0,0.36892495,0
30,No,Low Income,4,Yes,No,0,0,1,0,0,0,1,0.465465556,0,0.16380711,0
30,No,Middle Income,2,No,No,0,0,0,0,0,1,0,0.060206232,0,0.000863661,0
35,Yes,Low Income,1,No,Yes,0,1,0,1,0,0,1,0.139495828,0,0.006677573,0
31,Yes,Low Income,1,No,Yes,0,1,0,1,0,0,1,0.215092499,0,0.001599636,0
27,No,Middle Income,3,Yes,No,0,0,1,0,0,1,0,0.229786075,0,0.009857174,0
34,No,Middle Income,2,Yes,No,0,0,1,0,0,1,0,0.077128213,0,0.008184941,0
31,No,Low Income,1,Yes,Yes,0,0,1,1,0,0,1,0.1010023,0,0.002386098,0
27,Yes,High Income,5,No,No,1,1,0,0,1,0,0,0.885259117,1,0.9971283,1
30,No,Middle Income,6,No,Yes,0,0,0,1,0,1,0,0.100834644,0,0.002411765,0
29,No,Low Income,2,No,No,0,0,0,0,0,0,1,0.181604703,0,0.006508101,0
30,No,Middle Income,3,Yes,No,0,0,1,0,0,1,0,0.167526607,0,0.000129901,0
28,Yes,High Income,1,No,No,1,1,0,0,1,0,0,0.62171957,1,0.99440694,1
29,No,Low Income,1,No,No,0,0,0,0,0,0,1,0.13478593,0,8.55E-05,0
36,No,Middle Income,2,No,Yes,0,0,0,1,0,1,0,0.012241962,0,0.001609703,0
37,No,Middle Income,4,Yes,Yes,0,0,1,1,0,1,0,0.046379283,0,0.000788912,0
30,Yes,Low Income,1,Yes,No,1,1,1,0,0,0,1,0.618409493,1,0.9700754,1
28,No,Low Income,3,No,No,0,0,0,0,0,0,1,0.264931857,0,0.015556283,0
34,No,Middle Income,2,No,No,0,0,0,0,0,1,0,0.036513703,0,0.000852263,0
38,No,Low Income,1,No,Yes,0,0,0,1,0,0,1,0.01992386,0,0.000115455,0
30,Yes,High Income,1,No,No,0,1,0,0,1,0,0,0.558323372,1,0.41210014,0
30,No,Middle Income,5,Yes,Yes,0,0,1,1,0,1,0,0.147932267,0,0.000950738,0
33,No,Low Income,4,No,No,0,0,0,0,0,0,1,0.210328391,0,0.000442732,0
34,No,Middle Income,3,No,Yes,0,0,0,1,0,1,0,0.022438146,0,0.000258899,0
34,Yes,High Income,6,No,Yes,1,1,0,1,1,0,0,0.650911888,1,0.95829153,1
37,No,Low Income,1,Yes,No,0,0,1,0,0,0,1,0.107320132,0,0.012615615,0
37,No,Middle Income,2,Yes,No,0,0,1,0,0,1,0,0.053364888,0,0.012517991,0
37,No,Middle Income,1,No,Yes,0,0,0,1,0,1,0,0.0075728,0,0.000167405,0
37,Yes,Low Income,1,No,No,0,1,0,0,0,0,1,0.226746848,0,0.00360701,0
31,No,Middle Income,4,No,Yes,0,0,0,1,0,1,0,0.046230444,0,0.000154279,0
34,No,Middle Income,2,No,No,0,0,0,0,0,1,0,0.036513703,0,0.000852263,0
30,No,Low Income,1,Yes,Yes,0,0,1,1,0,0,1,0.113559138,0,0.001876127,0
34,Yes,High Income,1,No,No,0,1,0,0,1,0,0,0.427850681,0,0.36892495,0
37,No,Middle Income,1,No,Yes,0,0,0,1,0,1,0,0.0075728,0,0.000167405,0
33,No,Low Income,5,Yes,Yes,1,0,1,1,0,0,1,0.262401071,0,0.7465296,1
28,No,Middle Income,3,Yes,No,0,0,1,0,0,1,0,0.207384111,0,0.002267166,0
33,Yes,High Income,4,Yes,No,1,1,1,0,1,0,0,0.844591817,1,0.5849274,1
31,No,Low Income,1,No,No,0,0,0,0,0,0,1,0.106997666,0,8.37E-05,0
28,No,Low Income,2,No,No,1,0,0,0,0,0,1,0.201931389,0,0.97709924,1
29,No,Middle Income,6,No,Yes,0,0,0,1,0,1,0,0.113373268,0,0.007386676,0
38,Yes,Low Income,1,No,No,0,1,0,0,0,0,1,0.204562485,0,0.003761543,0
36,No,Middle Income,3,Yes,No,0,0,1,0,0,1,0,0.08388169,0,0.001674588,0
28,No,Middle Income,2,No,No,1,0,0,0,0,1,0,0.076888652,0,0.9878501,1
29,No,Low Income,4,Yes,No,0,0,1,0,0,0,1,0.498222119,0,0.19286998,0
30,Yes,High Income,1,No,Yes,0,1,0,1,1,0,0,0.349589478,0,0.014865185,0
34,Yes,Low Income,1,Yes,Yes,0,1,1,1,0,0,1,0.289587606,0,0.5849414,1
29,No,Low Income,2,Yes,No,1,0,1,0,0,0,1,0.32856917,0,0.9758799,1
37,No,Middle Income,5,No,Yes,1,0,0,1,0,1,0,0.030457661,0,0.8746968,1
30,Yes,High Income,1,No,No,1,1,0,0,1,0,0,0.558323372,1,0.41210014,0
37,No,Low Income,1,No,Yes,0,0,0,1,0,0,1,0.022654853,0,9.79E-05,0
30,No,Middle Income,4,No,No,0,0,0,0,0,1,0,0.115032877,0,9.58E-05,0
31,No,Middle Income,1,Yes,Yes,0,0,1,1,0,1,0,0.035665233,0,0.000234137,0
30,Yes,Low Income,1,Yes,No,1,1,1,0,0,0,1,0.618409493,1,0.9700754,1
30,No,Middle Income,3,No,No,0,0,0,0,0,1,0,0.083623053,0,5.19E-05,0
37,No,Middle Income,6,No,Yes,0,0,0,1,0,1,0,0.042831298,0,0.09346943,0
37,No,Low Income,1,Yes,Yes,0,0,1,1,0,0,1,0.048632135,0,0.001106285,0
36,Yes,High Income,1,Yes,No,0,1,1,0,1,0,0,0.559154343,1,0.21054855,0
31,No,Middle Income,4,No,Yes,0,0,0,1,0,1,0,0.046230444,0,0.000154279,0
36,No,Low Income,2,No,No,0,0,0,0,0,0,1,0.08134295,0,0.008878146,0
28,No,Low Income,3,No,Yes,0,0,0,1,0,0,1,0.132884131,0,0.003541283,0
30,Yes,High Income,5,No,No,1,1,0,0,1,0,0,0.838818656,1,0.365398,0
28,No,Low Income,1,Yes,No,0,0,1,0,0,0,1,0.281467663,0,0.02880339,0
38,No,Middle Income,2,No,No,0,0,0,0,0,1,0,0.02192719,0,0.001600394,0
31,No,Middle Income,1,No,Yes,0,0,0,1,0,1,0,0.01649425,0,0.000127937,0
29,Yes,Low Income,4,No,Yes,0,1,0,1,0,0,1,0.507330329,1,0.08109263,0
34,No,Middle Income,3,Yes,No,0,0,1,0,0,1,0,0.106381702,0,0.001019222,0
36,Yes,Low Income,2,Yes,No,0,1,1,0,0,0,1,0.512272468,1,0.5711102,1
37,No,Low Income,1,No,No,0,0,0,0,0,0,1,0.05169764,0,0.000429312,0
29,Yes,High Income,1,No,No,0,1,0,0,1,0,0,0.590397008,1,0.43826097,0
37,No,Middle Income,6,No,Yes,0,0,0,1,0,1,0,0.042831298,0,0.09346943,0
38,No,Low Income,2,Yes,No,1,0,1,0,0,0,1,0.130575232,0,0.98092973,1
30,No,Middle Income,4,Yes,Yes,0,0,1,1,0,1,0,0.108642051,0,0.000140271,0
37,Yes,High Income,1,No,No,1,1,0,0,1,0,0,0.335287712,0,0.33869052,0
35,Yes,Low Income,5,No,No,1,1,0,0,0,0,1,0.610835335,1,0.6936702,1
28,No,Middle Income,2,No,Yes,1,0,0,1,0,1,0,0.034204461,0,0.9674553,1
31,No,Middle Income,1,Yes,Yes,0,0,1,1,0,1,0,0.035665233,0,0.000234137,0
34,Yes,Low Income,1,Yes,No,1,1,1,0,0,0,1,0.489455746,0,0.42465845,0
35,No,Middle Income,3,No,No,0,0,0,0,0,1,0,0.045202748,0,0.001849629,0
35,No,Middle Income,4,No,No,0,0,0,0,0,1,0,0.063176346,0,0.002980973,0
35,No,Low Income,1,Yes,Yes,0,0,1,1,0,0,1,0.062320181,0,0.004341262,0
28,Yes,High Income,1,No,No,1,1,0,0,1,0,0,0.62171957,1,0.99440694,1
28,No,Middle Income,1,Yes,Yes,0,0,1,1,0,1,0,0.051979702,0,0.002365431,0
28,No,Low Income,2,No,No,1,0,0,0,0,0,1,0.201931389,0,0.97709924,1
30,No,Middle Income,3,No,No,0,0,0,0,0,1,0,0.083623053,0,5.19E-05,0
36,Yes,High Income,6,No,Yes,1,1,0,1,1,0,0,0.589175236,1,0.9908732,1
30,No,Low Income,4,Yes,No,0,0,1,0,0,0,1,0.465465556,0,0.16380711,0
31,No,Middle Income,5,Yes,No,0,0,1,0,0,1,0,0.263675154,0,0.0085246,0
